Unic Identifier,Database,Gene,Species,TaxID,Last update,Sequence version
UPI0003B091E7,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0003B0BDA8,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0003B0E579,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0003B0E714,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0003B0EA23,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0003B1085B,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0003B108D6,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C5FB6F,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C5FC5D,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C60086,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C6009A,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C603C3,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C608B7,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C60FF7,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C61040,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007C6107A,UniProtKB/TrEMBL,MAPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCB8E8,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCB9C7,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCB9EC,UniProtKB/TrEMBL,ND4L,Mammuthus columbi,1027716,2023-06-28,1
